,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Altamira,BR,-3.2,-52.21,81.23,60,69,2.04,broken clouds
1,Port Hawkesbury,CA,45.62,-61.35,60.01,72,40,4.7,scattered clouds
2,Hilo,US,19.73,-155.09,80.6,65,90,4.7,light rain
3,Goderich,CA,43.75,-81.72,80.01,71,98,17.09,overcast clouds
4,Mataura,NZ,-46.19,168.86,46.0,86,100,15.01,light rain
5,Ewa Beach,US,21.32,-158.01,87.8,48,20,8.05,few clouds
6,Saint-Philippe,RE,-21.36,55.77,68.0,64,39,6.93,scattered clouds
7,Vila Velha,BR,-20.33,-40.29,79.0,83,1,16.11,clear sky
8,Norman Wells,CA,65.28,-126.83,46.4,65,75,6.93,broken clouds
9,Saskylakh,RU,71.92,114.08,31.69,95,95,8.86,overcast clouds
10,Port Alfred,ZA,-33.59,26.89,54.43,62,0,17.67,clear sky
11,Whitehorse,CA,60.72,-135.05,53.01,57,75,11.41,light intensity shower rain
12,Albany,US,42.6,-73.97,75.0,67,27,6.46,scattered clouds
13,Ushuaia,AR,-54.8,-68.3,39.2,69,40,28.86,shower rain
14,Prince Rupert,CA,54.32,-130.32,57.2,71,1,6.93,clear sky
15,Jiayuguan,CN,39.82,98.3,50.43,41,81,2.98,broken clouds
16,Constitucion,CL,-35.33,-72.42,53.82,67,7,10.74,clear sky
17,Atuona,PF,-9.8,-139.03,78.28,74,0,14.74,clear sky
18,Butaritari,KI,3.07,172.79,82.04,73,100,11.32,light rain
19,Hithadhoo,MV,-0.6,73.08,82.27,69,99,5.46,overcast clouds
20,Bilibino,RU,68.05,166.44,33.84,90,99,2.37,overcast clouds
21,Shakawe,BW,-18.37,21.85,71.44,21,0,4.92,clear sky
22,Paita,PE,-5.09,-81.11,65.44,75,26,16.46,scattered clouds
23,Dauphin,CA,51.15,-100.05,59.0,82,90,4.7,overcast clouds
24,Niamtougou,TG,9.77,1.11,75.2,94,20,3.51,few clouds
25,Tuatapere,NZ,-46.13,167.68,46.0,86,100,15.01,light rain
26,Isangel,VU,-19.55,169.27,78.44,77,11,9.15,few clouds
27,Hermanus,ZA,-34.42,19.23,46.0,92,20,7.27,light rain
28,Miyako,JP,39.64,141.95,60.93,85,100,3.58,light rain
29,Kodiak,US,57.79,-152.41,50.0,81,40,8.05,scattered clouds
30,Akyab,MM,20.15,92.9,80.1,83,90,4.41,light rain
31,Chuy,UY,-33.7,-53.46,60.67,94,99,12.37,moderate rain
32,Tuktoyaktuk,CA,69.45,-133.04,37.4,93,90,16.11,light rain
33,Rawson,AR,-43.3,-65.1,54.64,54,95,11.95,overcast clouds
34,Barrow,US,71.29,-156.79,32.0,97,90,10.29,overcast clouds
35,Bluff,NZ,-46.6,168.33,46.0,86,100,15.01,overcast clouds
36,Hobart,AU,-42.88,147.33,46.99,56,75,18.34,shower rain
37,Hambantota,LK,6.12,81.12,77.0,100,18,3.36,few clouds
38,Grand Gaube,MU,-20.01,57.66,69.01,76,3,4.0,light rain
39,Yozgat,TR,39.58,35.33,61.21,47,0,3.62,clear sky
40,Coquimbo,CL,-29.95,-71.34,59.0,62,0,9.17,clear sky
41,Arraial Do Cabo,BR,-22.97,-42.03,75.2,83,0,14.99,clear sky
42,Namatanai,PG,-3.67,152.43,83.82,72,9,8.32,clear sky
43,Gamba,GA,-2.65,10.0,75.24,80,100,8.63,overcast clouds
44,San Cristobal,VE,7.77,-72.22,87.8,55,40,10.29,scattered clouds
45,The Pas,CA,53.83,-101.25,66.2,45,1,6.93,clear sky
46,The Valley,AI,18.22,-63.06,86.0,79,40,8.05,scattered clouds
47,Fortuna,US,40.6,-124.16,71.01,73,40,13.87,scattered clouds
48,Lorengau,PG,-2.02,147.27,83.57,75,97,6.53,moderate rain
49,Deputatskiy,RU,69.3,139.9,34.41,86,2,5.91,clear sky
50,Rikitea,PF,-23.12,-134.97,74.28,84,0,14.03,clear sky
51,Victoria,HK,22.29,114.16,81.0,87,99,19.6,overcast clouds
52,Fort Nelson,CA,58.81,-122.7,48.2,93,90,11.41,mist
53,Lebu,CL,-37.62,-73.65,52.02,81,35,8.66,scattered clouds
54,Katangli,RU,51.71,143.23,50.63,87,100,13.18,overcast clouds
55,Pushkino,RU,56.02,37.87,61.0,81,71,8.95,broken clouds
56,Tasiilaq,GL,65.61,-37.64,39.2,80,100,6.93,light rain
57,Maningrida,AU,-12.07,134.27,75.4,81,99,5.26,overcast clouds
58,Oranjemund,NA,-28.55,16.43,54.61,72,0,11.83,clear sky
59,Nikolskoye,RU,59.7,30.79,57.0,81,3,6.71,clear sky
60,Puerto Narino,CO,-3.77,-70.38,86.0,74,20,4.7,few clouds
61,Beringovskiy,RU,63.05,179.32,35.89,77,11,13.56,few clouds
62,Mana,GF,5.66,-53.78,80.28,81,28,10.51,light rain
63,Puerto Ayora,EC,-0.74,-90.35,70.0,84,56,5.01,broken clouds
64,La Union,PE,-5.4,-80.75,76.41,49,34,17.74,scattered clouds
65,Buraydah,SA,26.33,43.98,80.6,28,0,2.24,clear sky
66,Avera,US,33.19,-82.53,75.99,83,1,4.7,clear sky
67,Berlevag,NO,70.86,29.09,41.99,66,8,18.43,clear sky
68,Svetlogorsk,BY,52.63,29.73,65.32,41,0,14.65,clear sky
